frame,robot_hand_x,robot_hand_y,robot_hand_z,human_hand_x,human_hand_y,human_hand_z,object_x,object_y,object_z
1,0.6100000143051147,-0.35459935665130615,1.5798532962799072,0.0,0.0,0.0,0.5264380574226379,0.22598212957382202,0.9661297798156738
10,0.6100000143051147,-0.36136624217033386,1.5747478008270264,0.0,0.0,0.0,0.5263069868087769,0.22587677836418152,0.9662955403327942
20,0.6100000143051147,-0.36548149585723877,1.5857906341552734,0.0,0.0,0.0,0.5261748433113098,0.22577287256717682,0.9664785861968994
30,0.6100000143051147,-0.3647395968437195,1.6143708229064941,0.0,0.0,0.0,0.5261173844337463,0.22572985291481018,0.9665848612785339
40,0.6100000739097595,-0.36399927735328674,1.65458345413208,0.0,0.0,0.0,0.5261263847351074,0.225738525390625,0.9666203856468201
50,0.6100000143051147,-0.3665790259838104,1.691874623298645,0.0,0.0,0.0,0.5261854529380798,0.22578273713588715,0.9666010141372681
60,0.6100000143051147,-0.36909255385398865,1.721924066543579,0.0,0.0,0.0,0.5262770056724548,0.22584564983844757,0.9665438532829285
70,0.6100000143051147,-0.37124204635620117,1.7458239793777466,0.0,0.0,0.0,0.526383638381958,0.2259102761745453,0.9664660096168518
80,0.6100000143051147,-0.3731136620044708,1.764643907546997,0.0,0.0,0.0,0.5264877080917358,0.2259596586227417,0.9663845300674438
90,0.6100000143051147,-0.37476998567581177,1.7793042659759521,0.0,0.0,0.0,0.5265727639198303,0.2259790152311325,0.9663149118423462
100,0.6100000143051147,-0.37625551223754883,1.7905844449996948,0.0,0.0,0.0,0.526629626750946,0.22596850991249084,0.9662595391273499
110,0.6100000143051147,-0.3776020109653473,1.7991373538970947,0.0,0.0,0.0,0.5266541242599487,0.2259386032819748,0.9662123322486877
120,0.6100000143051147,-0.37883222103118896,1.8055051565170288,0.0,0.0,0.0,0.5266429781913757,0.22590124607086182,0.9661657810211182
130,0.6100000143051147,-0.3799625337123871,1.8101338148117065,0.0,0.0,0.0,0.5265945792198181,0.2258676439523697,0.9661135673522949
140,0.60999995470047,-0.3810034394264221,1.8133876323699951,0.0,0.0,0.0,0.5265201330184937,0.22584277391433716,0.9660569429397583
